KFZID,BremseVo,BremseHi,Motorart,Motorbauart,Aufladung,Zylinder,Ventile,Hubraum,LeistungPS,LeistungMax,Drehmoment,Antriebsart,Getriebe,Lang,Breit,Hoch,Gesamtgewicht,Grundpreis,TestID
237394,Scheibe,Scheibe,Voll-Hybrid,Voll-Hybri,,4.0,4.0,2494 ccm,223,6000 U/min,n.b.,Heck,CVT-Getriebe,4665 mm,1810 mm,1430 mm,2130 kg,46800,5026
238340,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1598 ccm,105,3000 U/min,250 Nm,Front,Schaltgetriebe,4456 mm,1796 mm,1416 mm,1825 kg,28200,5027
236848,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1560 ccm,116,3600 U/min,270 Nm,Front,Schaltgetriebe,4428 mm,1826 mm,1610 mm,1940 kg,27340,5028
238080,Scheibe,Scheibe,Diesel,Reihe,Bi-Turbo,4.0,4.0,2143 ccm,170,3000 U/min,400 Nm,Heck,Automatikgetriebe,4879 mm,1854 mm,1474 mm,2360 kg,48963,5029
237759,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1995 ccm,184,4000 U/min,380 Nm,Heck,Automatikgetriebe,4638 mm,1825 mm,1362 mm,1985 kg,41650,5030
237891,Scheibe,Scheibe,Voll-Hybrid,Voll-Hybri,,4.0,4.0,1798 ccm,136,5200 U/min,n.b.,Front,CVT-Getriebe,4560 mm,1760 mm,1475 mm,1815 kg,27990,5031
230321,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1968 ccm,140,4200 U/min,320 Nm,Front,Automat. Schaltgetriebe (Doppelkupplung),4802 mm,1855 mm,1417 mm,2020 kg,38150,5001
236829,Scheibe,Scheibe,Diesel,V-Motor,Turbo,6.0,4.0,2987 ccm,258,3600 U/min,620 Nm,Heck,Automatikgetriebe,5116 mm,1899 mm,1496 mm,2655 kg,81753,5047
235647,Scheibe,Scheibe,Diesel,Reihe,Turbo,4.0,4.0,1968 ccm,150,3500 U/min,320 Nm,Front,Schaltgetriebe,4236 mm,1810 mm,1431 mm,1810 kg,25660,5023
235445,Scheibe,Trommel,Gas,Reihe,,3.0,4.0,999 ccm,68,6200 U/min,90 Nm,Front,Schaltgetriebe,3563 mm,1641 mm,1480 mm,1370 kg,14940,5024
